post_id	post_published_unix	comments_count_fb	shares_count_fb	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	post_published_sql
1008279892518211_1597783646901163	1497945171	0	1	0	0	0	2	0	0	0	0	0	0	tunis	2017-06-20 09:52:51
1008279892518211_1596406720372189	1497829185	0	0	0	0	0	2	0	0	0	0	1	0	bizert	2017-06-19 01:39:45
1008279892518211_1596401437039384	1497828676	0	0	0	0	0	2	0	1	0	0	0	0	bizert	2017-06-19 01:31:16
1008279892518211_1596221453724049	1497813444	0	0	0	0	0	38	1	1	22	1	1	0	tunis	2017-06-18 21:17:24
1008279892518211_1595516800461181	1497756996	12	0	6	16	0	24	3	0	0	0	0	0	tunis	2017-06-18 05:36:36
1008279892518211_1594197650593096	1497651250	10	0	4	5	0	4	0	1	1	0	0	0	tunis	2017-06-17 00:14:10
1008279892518211_1594766910536170	1497698746	18	0	6	9	0	6	0	0	1	0	1	0	tunis	2017-06-17 13:25:46
1008279892518211_1594979123848282	1497713643	4	0	0	2	0	4	0	2	0	0	4	0	bizert	2017-06-17 17:34:03
1008279892518211_1594953597184168	1497711908	0	0	0	0	0	4	0	0	0	0	0	0	tunis	2017-06-17 17:05:08
1008279892518211_1592849657394562	1497549798	0	0	0	0	0	2	0	0	0	0	0	0	gafsa	2017-06-15 20:03:18
1008279892518211_1590431137636414	1497359867	17	22	6	22	0	47	8	0	5	0	0	0	tunis	2017-06-13 15:17:47
1008279892518211_1590273954318799	1497348698	64	60	30	29	0	41	2	4	19	19	7	0	tunis	2017-06-13 12:11:38
1008279892518211_1589961934350001	1497316327	5	5	1	1	0	10	0	0	0	0	0	0	gafsa	2017-06-13 03:12:07
1008279892518211_1591291780883683	1497427171	0	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-06-14 09:59:31
1008279892518211_1590678874278307	1497375598	0	0	0	0	0	4	0	0	0	0	0	0	tunis	2017-06-13 19:39:58
1008279892518211_1587759514570243	1497130831	35	0	0	27	0	69	0	7	1	6	63	0	tunis	2017-06-10 23:40:31
1008279892518211_1590514410961420	1497365147	0	1	0	0	0	0	0	1	0	0	0	0	tunis	2017-06-13 16:45:47
1008279892518211_1585150721497789	1496938280	5	4	2	3	0	5	0	0	0	0	0	0	tunis	2017-06-08 18:11:20
1008279892518211_1588119831200878	1497160391	1	0	0	0	0	5	0	0	0	0	0	0	tunis	2017-06-11 07:53:11
1008279892518211_1587891937890334	1497141470	1	0	0	0	0	1	0	0	0	0	0	0	tunis	2017-06-11 02:37:50
1008279892518211_1587412701271591	1497104045	18	7	1	9	0	22	0	6	3	1	9	0	sfax	2017-06-10 16:14:05
1008279892518211_1587372104608984	1497102095	2	1	0	1	0	4	1	0	1	0	1	0	tunis	2017-06-10 15:41:35
1008279892518211_1586582464687948	1497040169	7	5	0	9	0	13	0	0	0	2	4	0	tunis	2017-06-09 22:29:29
1008279892518211_1587115067968021	1497081265	10	12	0	11	0	43	3	0	1	7	0	0	tunis	2017-06-10 09:54:25
1008279892518211_1586658914680303	1497045590	15	9	4	10	0	42	6	0	0	0	0	0	ariana	2017-06-09 23:59:50
1008279892518211_1587339444612250	1497099863	3	2	1	2	0	5	0	1	1	0	0	0	sousse	2017-06-10 15:04:23
1008279892518211_1586424524703742	1497031910	9	0	0	7	0	31	0	1	37	2	0	0	monastir	2017-06-09 20:11:50
