hour	count
2017-01-07T20	1
2017-01-08T18	1
2017-01-08T19	2
2017-01-08T21	1
2017-01-08T22	1
2017-01-10T18	2
2017-01-10T19	1
2017-01-11T07	1
2017-01-11T08	1
2017-01-11T10	1
2017-01-11T17	1
2017-01-12T11	1
2017-01-12T12	1
2017-01-12T20	1
2017-01-12T22	1
2017-01-13T15	1
2017-01-14T01	1
2017-01-14T07	1
2017-01-14T10	1
2017-01-14T23	1
2017-01-15T10	1
2017-01-15T16	1
2017-01-15T19	1
2017-01-16T14	2
2017-01-16T19	1
2017-01-17T08	1
2017-01-17T21	1
2017-01-18T16	1
2017-01-19T11	1
2017-01-19T20	1
2017-01-19T22	1
2017-01-21T12	2
2017-01-21T17	1
2017-01-21T19	1
2017-01-22T08	1
2017-01-22T15	1
2017-01-22T21	1
2017-01-24T15	1
2017-01-25T23	1
2017-01-26T09	1
2017-01-26T11	1
2017-01-26T20	1
2017-01-27T06	1
2017-01-27T22	1
2017-01-28T13	2
2017-01-28T20	1
2017-01-31T21	1
2017-02-02T10	1
2017-02-02T18	1
2017-02-03T13	1
2017-02-03T17	1
2017-02-05T09	1
2017-02-06T12	2
2017-02-06T20	1
2017-02-06T23	1
2017-02-07T23	1
2017-02-08T07	1
2017-02-10T16	1
2017-02-11T09	1
2017-02-13T08	1
2017-02-13T13	1
2017-02-15T19	1
2017-02-15T23	1
2017-02-16T08	1
2017-02-16T19	1
2017-02-16T20	1
2017-02-17T07	1
2017-02-17T08	1
2017-02-17T10	1
2017-02-17T11	1
2017-02-17T13	1
2017-02-18T06	1
2017-02-18T10	1
2017-02-18T13	2
2017-02-18T16	1
2017-02-19T08	1
2017-02-19T09	1
2017-02-19T15	1
2017-02-20T13	1
2017-02-21T07	1
2017-02-21T12	1
2017-02-21T19	1
2017-02-22T09	1
2017-02-22T15	1
2017-02-22T19	1
2017-02-22T21	1
2017-02-22T22	1
2017-02-23T11	1
2017-02-23T12	1
2017-02-23T18	1
2017-02-23T23	1
2017-02-24T07	1
2017-02-24T12	1
2017-02-25T07	1
2017-02-25T22	2
2017-02-26T12	1
2017-02-26T21	2
2017-02-27T07	1
2017-02-27T10	1
2017-02-27T18	1
